title,published,link
"Here’s Why These Ultra-Rare Eminem Nike Air Max 97s Cost $50,000 (Photos) - Forbes","Tue, 22 Mar 2022 07:00:00 GMT",https://www.forbes.com/sites/carlieporterfield/2022/03/22/heres-why-these-ultra-rare-eminem-nike-air-max-97s-cost-50000-photos/
Here's Where to Get Tom Holland's Nike Air Max 97s - GQ,"Thu, 17 Mar 2022 07:00:00 GMT",https://www.gq.com/story/tom-holland-nike-air-max-97-trainers
Nike Drops Gorgeous Tiger Woods Merchandise Commemorating His 25th Win Anniversary at the Masters - EssentiallySports,"Thu, 31 Mar 2022 18:43:00 GMT",https://www.essentiallysports.com/golf-news-nike-drops-gorgeous-tiger-woods-merchandise-commemorating-his-25th-win-anniversary-at-the-masters/
"Nike Air Max Day 2022: History of sneaker classic, new shoe releases - DraftKings Nation","Fri, 25 Mar 2022 18:05:42 GMT",https://dknation.draftkings.com/22988930/nike-air-max-pre-day-2022-new-releases-shoes-sneakers-history-atoms-parra-patta-concepts-stockx
Buyout Firm Navis Revives Sale of Nike Supplier Texon - Bloomberg,"Thu, 31 Mar 2022 05:21:00 GMT",https://www.bloomberg.com/news/articles/2022-03-31/buyout-firm-navis-is-said-to-revive-sale-of-nike-supplier-texon
Nike's New Initiative Will Increase Access for Women in Sports • EBONY - EBONY,"Mon, 28 Mar 2022 21:11:15 GMT",https://www.ebony.com/lifestyle/nike-athlete-think-thank-new-campaign/
Nike Air Trainer 1 Midnight Navy DM0521-101 Release Date - Sneaker Bar Detroit,"Fri, 01 Apr 2022 04:35:30 GMT",https://sneakerbardetroit.com/nike-air-trainer-1-white-midnight-navy-medium-grey-dm0521-101-release-date/
A Rundown of the Coveted Nike x Drake NOCTA Collection - LUXUO,"Wed, 30 Mar 2022 06:29:08 GMT",https://www.luxuo.com/style/fashion/a-rundown-of-the-coveted-nike-x-drake-nocta-collection.html
"Wizards, Nationals partner with Nike to sport cherry blossom uniforms - WTOP","Tue, 29 Mar 2022 18:33:45 GMT",https://wtop.com/local-sports/2022/03/wizards-nationals-partner-with-nike-to-sport-cherry-blossom-uniforms/
Nike to temporarily close all stores in Russia - Reuters,"Thu, 03 Mar 2022 08:00:00 GMT",https://www.reuters.com/business/retail-consumer/nike-temporarily-close-all-stores-russia-2022-03-03/
What Nike taught me about collaborative design - Fast Company,"Wed, 09 Mar 2022 08:00:00 GMT",https://www.fastcompany.com/90729494/what-nike-taught-me-about-collaborative-design
"Dow climbs nearly 250 points on gains for Visa, Nike shares - MarketWatch","Tue, 29 Mar 2022 18:36:00 GMT",https://www.marketwatch.com/story/dow-climbs-nearly-250-points-on-gains-for-visa-nike-shares-01648578973
Concepts Nike Air Max 1 Far Out DN1803-500 Release Date | HYPEBEAST - HYPEBEAST,"Fri, 25 Mar 2022 14:54:14 GMT",https://hypebeast.com/2022/3/concepts-nike-air-max-1-far-out-dn1803-500-release-date
Swoosh: Why Nike’s Foot Locker Cutback Could Devastate Other Retailers - Forbes,"Tue, 01 Mar 2022 08:00:00 GMT",https://www.forbes.com/sites/warrenshoulberg/2022/03/01/swoosh-why-nikes-foot-locker-exit-could-devastate-other-retailers/
Dick's touts 'incredibly strategic' relationship with Nike as it posts another record year - Retail Dive,"Tue, 08 Mar 2022 08:00:00 GMT",https://www.retaildive.com/news/dicks-touts-incredibly-strategic-relationship-with-nike-as-it-posts-anot/620021/
"Unsealed Evidence in Nike Counterfeit Lawsuit Shows Fake Shoes, Lanyards, Neon Signs - Complex","Fri, 11 Mar 2022 08:00:00 GMT",https://www.complex.com/sneakers/nike-counterfeit-lawsuit-unsealed-evidence-fake-sneakers
"Nike, Adidas and Peloton Stocks Have Tumbled. Why One Analyst Is Bullish. - Barron's","Tue, 15 Mar 2022 07:00:00 GMT",https://www.barrons.com/articles/nike-adidas-and-peloton-stocks-have-tumbled-why-one-analyst-is-bullish-51647371230
This Stock Is Likely To Offer Better Returns Over Nike’s Stock - Forbes,"Wed, 16 Mar 2022 07:00:00 GMT",https://www.forbes.com/sites/greatspeculations/2022/03/16/this-stock-is-likely-to-offer-better-returns-over-nikes-stock/
"American Airlines, Nike, Starbucks: Stocks That Defined the Week - The Wall Street Journal","Sat, 26 Mar 2022 00:13:00 GMT",https://www.wsj.com/articles/american-airlines-nike-starbucks-stocks-that-defined-the-week-11648250019
Some independent Nike stores remain open in Russia over a week after closure announcement - Reuters,"Sat, 12 Mar 2022 08:00:00 GMT",https://www.reuters.com/business/retail-consumer/nike-stores-remain-open-russia-over-week-after-closure-announcement-2022-03-11/
"Nike opens 'marketplace of the future' in CityCentre, combining online and in-store shopping - Houston Chronicle","Thu, 17 Mar 2022 07:00:00 GMT",https://www.houstonchronicle.com/business/retail/article/Nike-opens-marketplace-of-the-future-in-17008922.php
"Athletic Deals: Snag New Apparel and Shoes From Nike, Puma and More - CNET","Fri, 25 Mar 2022 14:11:00 GMT",https://www.cnet.com/culture/fashion/athletic-deals-snag-new-apparel-and-shoes-from-nike-puma-and-more/
Why Scottie Scheffler dropped his loyal Nike 3-wood for TaylorMade Stealth - Golf.com,"Thu, 24 Mar 2022 21:42:01 GMT",https://golf.com/gear/fairway-woods/scottie-scheffler-nike-taylormade-stealth-3-wood/
Nike 'Remains Committed' to Chelsea Partnership Amid Roman Abramovich Sanctions - Sports Illustrated,"Fri, 11 Mar 2022 08:00:00 GMT",https://www.si.com/soccer/chelsea/news/nike-remains-committed-to-chelsea-partnership-amid-roman-abramovich-sanctions
What Happened to the Nike Factory Store in Meridian? - 107.9 LITE FM,"Thu, 24 Mar 2022 23:07:50 GMT",https://liteonline.com/what-happened-to-the-nike-factory-store-in-meridian/
"Nike, Boeing share gains contribute to Dow's 250-point climb - MarketWatch","Wed, 16 Mar 2022 07:00:00 GMT",https://www.marketwatch.com/story/nike-boeing-share-gains-contribute-to-dow-s-250-point-climb-01647458348
"Dow falls nearly 200 points on losses for Nike, JPMorgan Chase shares - MarketWatch","Fri, 11 Mar 2022 08:00:00 GMT",https://www.marketwatch.com/story/dow-falls-nearly-200-points-on-losses-for-nike-jpmorgan-chase-shares-01647032043
"Wall St gains, with tech, growth shares in the lead - Reuters","Tue, 22 Mar 2022 07:00:00 GMT",https://www.reuters.com/business/futures-tick-higher-nike-jumps-after-solid-quarter-2022-03-22/
"Nike, American Express share gains lead Dow's nearly 625-point rally - MarketWatch","Wed, 09 Mar 2022 08:00:00 GMT",https://www.marketwatch.com/story/nike-american-express-share-gains-lead-dow-s-nearly-625-point-rally-01646837169
"Dow's 87-point fall led by losses in shares of Nike, Chevron - MarketWatch","Mon, 14 Mar 2022 07:00:00 GMT",https://www.marketwatch.com/story/dow-s-87-point-fall-led-by-losses-in-shares-of-nike-chevron-01647280083
Nike Creates NIKELAND on Roblox - Nike News,"Thu, 18 Nov 2021 08:00:00 GMT",https://news.nike.com/news/five-things-to-know-roblox
Nike just bought a virtual shoe company that makes NFTs and sneakers 'for the metaverse' - The Verge,"Mon, 13 Dec 2021 08:00:00 GMT",https://www.theverge.com/22833369/nike-rtfkt-nft-sneaker-shoe-metaverse-company
Nike By You Custom Shoes - Nike,"Wed, 19 Jun 2019 20:00:24 GMT",https://www.nike.com/nike-by-you
Nike will stop selling sneakers at one of America's largest shoe chains - CNN,"Wed, 08 Dec 2021 08:00:00 GMT",https://www.cnn.com/2021/12/08/business/nike-dsw-retail-sneakers/index.html
"Nike and Dick's Sporting Goods integrate loyalty program, as the pair strengthen ties - CNBC","Wed, 03 Nov 2021 07:00:00 GMT",https://www.cnbc.com/2021/11/03/nike-and-dicks-sporting-goods-integrate-loyalty-programs.html
Nike's Sales Top Estimates Thanks To High Demand. The Stock Is Rising. - Barron's,"Mon, 20 Dec 2021 08:00:00 GMT",https://www.barrons.com/articles/nikes-sales-top-estimates-high-demand-51640041618
"The Nike Cortez endures, 50 years after its release - NPR","Tue, 15 Feb 2022 08:00:00 GMT",https://www.npr.org/2022/02/15/1077040201/nike-cortez-50-anniversary-history-los-angeles
Nike shares fall as supply chain havoc leads retailer to slash revenue forecast - CNBC,"Thu, 23 Sep 2021 07:00:00 GMT",https://www.cnbc.com/2021/09/23/nike-nke-q1-2022-earnings.html
Nike Kids Innovation Dynamo Go FlyEase Apparel - Nike News,"Thu, 13 Jan 2022 08:00:00 GMT",https://news.nike.com/news/kids-flyease-footwear-apparel
Nike is testing NFT trademark law by suing a sneaker reseller - The Verge,"Thu, 10 Feb 2022 08:00:00 GMT",https://www.theverge.com/2022/2/10/22925252/nike-stockx-shoe-lawsuit-vault-nft-trademark-infringement
"19 Best Nike Shoes for Men in 2022: Air Force 1, Air Max, Dunks, and More - GQ","Mon, 10 Jan 2022 08:00:00 GMT",https://www.gq.com/gallery/nike-shoes-for-men
